open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
3875.9596,3920.7229,3867.3538,3919.8617,164228540,000300.SH,2025-02-12,NA,NA,CNY
3913.9044,3939.1978,3904.9845,3905.1398,172485874,000300.SH,2025-02-13,NA,NA,CNY
3900.8274,3942.0356,3900.8274,3939.0085,172976452,000300.SH,2025-02-14,NA,NA,CNY
3954.4147,3955.8959,3921.7017,3947.3983,213588246,000300.SH,2025-02-17,NA,NA,CNY
3942.5761,3965.4232,3901.8675,3912.7829,209425101,000300.SH,2025-02-18,NA,NA,CNY
3906.2201,3943.6742,3904.1455,3940.1602,182829517,000300.SH,2025-02-19,NA,NA,CNY
3934.6503,3940.678,3916.1772,3928.8959,163895236,000300.SH,2025-02-20,NA,NA,CNY
3938.0518,3981.048,3927.7874,3978.444,227400330,000300.SH,2025-02-21,NA,NA,CNY
3972.4831,3995.9456,3949.2309,3969.7169,220810618,000300.SH,2025-02-24,NA,NA,CNY
3933.636,3955.4336,3915.6527,3925.6505,178108580,000300.SH,2025-02-25,NA,NA,CNY
3931.842,3960.3298,3925.3664,3959.9413,191062501,000300.SH,2025-02-26,NA,NA,CNY
3961.0635,3973.9323,3933.4611,3968.1159,202887963,000300.SH,2025-02-27,NA,NA,CNY
3950.1866,3972.4813,3886.3994,3890.0487,198104147,000300.SH,2025-02-28,NA,NA,CNY
3899.6962,3930.0048,3872.5872,3888.4738,177623166,000300.SH,2025-03-03,NA,NA,CNY
3865.9939,3890.4235,3855.7254,3885.2208,149850967,000300.SH,2025-03-04,NA,NA,CNY
3887.7992,3906.4214,3877.0188,3902.5706,158652751,000300.SH,2025-03-05,NA,NA,CNY
3923.3827,3964.4942,3917.0833,3956.2369,193960915,000300.SH,2025-03-06,NA,NA,CNY
3944.9145,3967.0743,3935.0464,3944.0143,166732375,000300.SH,2025-03-07,NA,NA,CNY
3945.5795,3949.1448,3905.127,3928.8018,152765232,000300.SH,2025-03-10,NA,NA,CNY
3890.4305,3941.4157,3889.4298,3941.4157,144754402,000300.SH,2025-03-11,NA,NA,CNY
3946.8623,3953.6125,3921.4736,3927.2315,156732190,000300.SH,2025-03-12,NA,NA,CNY
3925.7439,3939.2854,3897.3758,3911.5793,156536443,000300.SH,2025-03-13,NA,NA,CNY
3919.6159,4014.1586,3919.6159,4006.5567,216139003,000300.SH,2025-03-14,NA,NA,CNY
4020.6402,4021.7278,3992.2563,3996.7876,162202911,000300.SH,2025-03-17,NA,NA,CNY
4011.7794,4016.873,3995.9602,4007.7229,140208496,000300.SH,2025-03-18,NA,NA,CNY
4004.8251,4025.299,3989.512,4010.168,144419428,000300.SH,2025-03-19,NA,NA,CNY
4011.0588,4012.0416,3969.9259,3974.9918,133754670,000300.SH,2025-03-20,NA,NA,CNY
3966.5146,3983.1476,3904.7674,3914.6956,165905294,000300.SH,2025-03-21,NA,NA,CNY
3916.1136,3938.1826,3907.1999,3934.8486,152234674,000300.SH,2025-03-24,NA,NA,CNY
3937.8975,3946.3574,3921.5287,3932.2951,140475399,000300.SH,2025-03-25,NA,NA,CNY
3930.2073,3942.026,3916.8607,3919.3566,131164187,000300.SH,2025-03-26,NA,NA,CNY
3911.3841,3952.9852,3903.652,3932.4117,126793738,000300.SH,2025-03-27,NA,NA,CNY
3930.7763,3934.2336,3907.384,3915.1662,126356214,000300.SH,2025-03-28,NA,NA,CNY
3905.9815,3928.4482,3872.403,3887.3056,166798523,000300.SH,2025-03-31,NA,NA,CNY
3892.7794,3905.2622,3882.4045,3887.6841,140380274,000300.SH,2025-04-01,NA,NA,CNY
3884.4181,3900.4949,3877.1599,3884.3858,113043175,000300.SH,2025-04-02,NA,NA,CNY
3843.4177,3883.7025,3843.4177,3861.5034,142599789,000300.SH,2025-04-03,NA,NA,CNY
3675.2017,3707.7771,3514.1165,3589.4406,312578586,000300.SH,2025-04-07,NA,NA,CNY
3597.9859,3650.759,3583.8746,3650.759,280197312,000300.SH,2025-04-08,NA,NA,CNY
3606.1036,3686.7943,3587.3368,3686.7943,262305708,000300.SH,2025-04-09,NA,NA,CNY
3749.1262,3756.1386,3708.8194,3735.1151,227252227,000300.SH,2025-04-10,NA,NA,CNY
3730.3148,3762.3653,3708.4617,3750.5167,168759691,000300.SH,2025-04-11,NA,NA,CNY
3772.0407,3776.6344,3754.033,3759.1422,164462403,000300.SH,2025-04-14,NA,NA,CNY
3756.4788,3764.486,3737.8495,3761.2348,134006040,000300.SH,2025-04-15,NA,NA,CNY
3757.8757,3775.1661,3721.6025,3772.8204,156359006,000300.SH,2025-04-16,NA,NA,CNY
3755.0862,3779.1253,3749.504,3772.2221,122371002,000300.SH,2025-04-17,NA,NA,CNY
3760.0425,3782.0443,3754.4072,3772.523,102948509,000300.SH,2025-04-18,NA,NA,CNY
3768.1421,3790.1782,3763.1383,3784.8806,121355730,000300.SH,2025-04-21,NA,NA,CNY
3780.1122,3799.2295,3778.0791,3783.9522,125688257,000300.SH,2025-04-22,NA,NA,CNY
3803.4295,3807.9536,3780.5183,3786.8824,131986870,000300.SH,2025-04-23,NA,NA,CNY
3787.459,3807.2599,3775.207,3784.3574,117164560,000300.SH,2025-04-24,NA,NA,CNY
3792.0838,3801.5765,3780.7772,3786.9937,124591133,000300.SH,2025-04-25,NA,NA,CNY
3786.3867,3792.0082,3772.8029,3781.6188,125145091,000300.SH,2025-04-28,NA,NA,CNY
3776.0025,3785.3157,3768.0311,3775.0767,111514694,000300.SH,2025-04-29,NA,NA,CNY
3775.8306,3787.5639,3768.7573,3770.5705,143681658,000300.SH,2025-04-30,NA,NA,CNY
3794.3757,3809.0939,3782.777,3808.5424,158520459,000300.SH,2025-05-06,NA,NA,CNY
3861.5767,3863.6776,3814.9868,3831.627,161172299,000300.SH,2025-05-07,NA,NA,CNY
3820.5481,3867.3313,3816.2642,3852.8963,124959833,000300.SH,2025-05-08,NA,NA,CNY
3848.6187,3853.6632,3836.5349,3846.1566,119389526,000300.SH,2025-05-09,NA,NA,CNY
3866.5305,3890.7342,3859.0346,3890.6096,153332460,000300.SH,2025-05-12,NA,NA,CNY
3915.5924,3915.5924,3890.6855,3896.2583,147320299,000300.SH,2025-05-13,NA,NA,CNY
3894.8386,3960.5228,3890.6504,3943.2108,172033779,000300.SH,2025-05-14,NA,NA,CNY
3934.0273,3936.4653,3904.9068,3907.1992,138081749,000300.SH,2025-05-15,NA,NA,CNY
3898.6662,3903.8528,3874.8619,3889.0854,118405345,000300.SH,2025-05-16,NA,NA,CNY
3882.5677,3885.5889,3866.5695,3877.1453,98643414,000300.SH,2025-05-19,NA,NA,CNY
3883.1024,3911.4737,3881.7436,3898.1705,104885234,000300.SH,2025-05-20,NA,NA,CNY
3899.4365,3928.6339,3899.4365,3916.3807,109791343,000300.SH,2025-05-21,NA,NA,CNY
3912.6007,3923.0195,3903.0898,3913.8651,107597052,000300.SH,2025-05-22,NA,NA,CNY
3910.3739,3931.5514,3882.2741,3882.2741,120277419,000300.SH,2025-05-23,NA,NA,CNY
3875.7891,3884.537,3849.0384,3860.1067,109601207,000300.SH,2025-05-26,NA,NA,CNY
3857.6271,3865.4291,3834.8455,3839.3969,98572425,000300.SH,2025-05-27,NA,NA,CNY
3843.0747,3849.736,3833.9582,3836.2366,89031026,000300.SH,2025-05-28,NA,NA,CNY
3838.0092,3869.7909,3831.4577,3858.6998,108471886,000300.SH,2025-05-29,NA,NA,CNY
3850.493,3858.6128,3829.2542,3840.2323,111672228,000300.SH,2025-05-30,NA,NA,CNY
3833.4584,3863.2952,3832.7202,3852.0127,131403090,000300.SH,2025-06-03,NA,NA,CNY
3855.4878,3875.8569,3855.4878,3868.7429,116803873,000300.SH,2025-06-04,NA,NA,CNY
3872.6373,3883.1345,3861.272,3877.5557,122878184,000300.SH,2025-06-05,NA,NA,CNY
3878.1027,3889.4557,3869.3871,3873.9841,110987971,000300.SH,2025-06-06,NA,NA,CNY
3877.7977,3894.6517,3871.9917,3885.2459,136306293,000300.SH,2025-06-09,NA,NA,CNY
3887.5512,3897.4573,3850.4663,3865.4652,145563859,000300.SH,2025-06-10,NA,NA,CNY
3870.6719,3911.6107,3870.6719,3894.6252,142414772,000300.SH,2025-06-11,NA,NA,CNY
3885.5196,3900.0408,3870.3838,3892.1992,133998697,000300.SH,2025-06-12,NA,NA,CNY
3881.4923,3889.1602,3853.8186,3864.1822,172539536,000300.SH,2025-06-13,NA,NA,CNY
3853.6193,3876.1704,3853.6193,3873.7951,137341835,000300.SH,2025-06-16,NA,NA,CNY
3875.1768,3880.4156,3860.409,3870.3786,122342526,000300.SH,2025-06-17,NA,NA,CNY
3871.6502,3881.346,3854.6575,3874.9708,127528621,000300.SH,2025-06-18,NA,NA,CNY
3870.049,3872.9425,3834.9512,3843.0912,130280658,000300.SH,2025-06-19,NA,NA,CNY
3839.7833,3856.4799,3839.7833,3846.6443,118151020,000300.SH,2025-06-20,NA,NA,CNY
3831.1703,3867.5896,3827.0829,3857.9016,133800892,000300.SH,2025-06-23,NA,NA,CNY
3862.3876,3914.1579,3862.3876,3904.0342,163656188,000300.SH,2025-06-24,NA,NA,CNY
